,frame,pos_x,pos_y,id
598,200.0,946,180,Burrow 1
599,200.0,294,356,Burrow 2
600,201.0,391,398,A
601,201.0,946,180,Burrow 1
602,201.0,294,356,Burrow 2
603,202.0,391,399,A
604,202.0,946,180,Burrow 1
605,202.0,294,356,Burrow 2
606,203.0,390,399,A
607,203.0,946,180,Burrow 1
608,203.0,294,356,Burrow 2
609,204.0,390,400,A
610,204.0,946,180,Burrow 1
611,204.0,294,356,Burrow 2
612,205.0,390,400,A
613,205.0,946,180,Burrow 1
614,205.0,294,356,Burrow 2
615,206.0,389,400,A
616,206.0,946,180,Burrow 1
617,206.0,294,356,Burrow 2
618,207.0,389,400,A
619,207.0,946,180,Burrow 1
620,207.0,294,356,Burrow 2
621,208.0,389,400,A
622,208.0,946,180,Burrow 1
623,208.0,294,356,Burrow 2
624,209.0,389,400,A
625,209.0,946,180,Burrow 1
626,209.0,294,356,Burrow 2
627,210.0,388,401,A
628,210.0,946,180,Burrow 1
629,210.0,294,356,Burrow 2
630,211.0,388,401,A
631,211.0,946,180,Burrow 1
632,211.0,294,356,Burrow 2
633,212.0,387,401,A
634,212.0,946,180,Burrow 1
635,212.0,294,356,Burrow 2
636,213.0,387,401,A
637,213.0,946,180,Burrow 1
638,213.0,294,356,Burrow 2
639,214.0,387,402,A
640,214.0,946,180,Burrow 1
641,214.0,294,356,Burrow 2
642,215.0,386,403,A
643,215.0,946,180,Burrow 1
644,215.0,294,356,Burrow 2
645,216.0,385,403,A
646,216.0,946,180,Burrow 1
647,216.0,294,356,Burrow 2
648,217.0,385,404,A
649,217.0,946,180,Burrow 1
650,217.0,294,356,Burrow 2
651,218.0,384,405,A
652,218.0,946,180,Burrow 1
653,218.0,294,356,Burrow 2
654,219.0,383,405,A
655,219.0,946,180,Burrow 1
656,219.0,294,356,Burrow 2
657,220.0,383,406,A
658,220.0,946,180,Burrow 1
659,220.0,294,356,Burrow 2
660,221.0,382,406,A
661,221.0,946,180,Burrow 1
662,221.0,294,356,Burrow 2
663,222.0,382,407,A
664,222.0,946,180,Burrow 1
665,222.0,294,356,Burrow 2
666,223.0,381,408,A
667,223.0,946,180,Burrow 1
668,223.0,294,356,Burrow 2
669,224.0,381,408,A
670,224.0,946,180,Burrow 1
671,224.0,294,356,Burrow 2
672,225.0,380,409,A
673,225.0,946,180,Burrow 1
674,225.0,294,356,Burrow 2
675,226.0,379,409,A
676,226.0,946,180,Burrow 1
677,226.0,294,356,Burrow 2
678,227.0,379,410,A
679,227.0,946,180,Burrow 1
680,227.0,294,356,Burrow 2
681,228.0,379,410,A
682,228.0,946,180,Burrow 1
683,228.0,294,356,Burrow 2
684,229.0,378,411,A
685,229.0,946,180,Burrow 1
686,229.0,294,356,Burrow 2
687,230.0,378,411,A
688,230.0,946,180,Burrow 1
689,230.0,294,356,Burrow 2
690,231.0,377,412,A
691,231.0,946,180,Burrow 1
692,231.0,294,356,Burrow 2
693,232.0,377,413,A
694,232.0,946,180,Burrow 1
695,232.0,294,356,Burrow 2
696,233.0,376,413,A
697,233.0,946,180,Burrow 1
698,233.0,294,356,Burrow 2
699,234.0,376,414,A
700,234.0,946,180,Burrow 1
701,234.0,294,356,Burrow 2
702,235.0,375,414,A
703,235.0,946,180,Burrow 1
704,235.0,294,356,Burrow 2
705,236.0,375,415,A
706,236.0,946,180,Burrow 1
707,236.0,294,356,Burrow 2
708,237.0,374,415,A
709,237.0,946,180,Burrow 1
710,237.0,294,356,Burrow 2
711,238.0,373,416,A
712,238.0,946,180,Burrow 1
713,238.0,294,356,Burrow 2
714,239.0,373,417,A
715,239.0,946,180,Burrow 1
716,239.0,294,356,Burrow 2
717,240.0,372,417,A
718,240.0,946,180,Burrow 1
719,240.0,294,356,Burrow 2
720,241.0,371,418,A
721,241.0,946,180,Burrow 1
722,241.0,294,356,Burrow 2
723,242.0,371,418,A
724,242.0,946,180,Burrow 1
725,242.0,294,356,Burrow 2
726,243.0,370,418,A
727,243.0,946,180,Burrow 1
728,243.0,294,356,Burrow 2
729,244.0,370,419,A
730,244.0,946,180,Burrow 1
731,244.0,294,356,Burrow 2
732,245.0,370,419,A
733,245.0,946,180,Burrow 1
734,245.0,294,356,Burrow 2
735,246.0,370,419,A
736,246.0,946,180,Burrow 1
737,246.0,294,356,Burrow 2
738,247.0,369,419,A
739,247.0,946,180,Burrow 1
740,247.0,294,356,Burrow 2
741,248.0,369,419,A
742,248.0,946,180,Burrow 1
743,248.0,294,356,Burrow 2
744,249.0,369,419,A
745,249.0,946,180,Burrow 1
746,249.0,294,356,Burrow 2
747,250.0,368,419,A
748,250.0,946,180,Burrow 1
749,250.0,294,356,Burrow 2
750,251.0,369,419,A
751,251.0,946,180,Burrow 1
752,251.0,294,356,Burrow 2
753,252.0,369,419,A
754,252.0,946,180,Burrow 1
755,252.0,294,356,Burrow 2
756,253.0,368,419,A
757,253.0,946,180,Burrow 1
758,253.0,294,356,Burrow 2
759,254.0,369,419,A
760,254.0,946,180,Burrow 1
761,254.0,294,356,Burrow 2
762,255.0,369,419,A
763,255.0,946,180,Burrow 1
764,255.0,294,356,Burrow 2
765,256.0,369,420,A
766,256.0,946,180,Burrow 1
767,256.0,294,356,Burrow 2
768,257.0,369,419,A
769,257.0,946,180,Burrow 1
770,257.0,294,356,Burrow 2
771,258.0,369,420,A
772,258.0,946,180,Burrow 1
773,258.0,294,356,Burrow 2
774,259.0,369,420,A
775,259.0,946,180,Burrow 1
776,259.0,294,356,Burrow 2
777,260.0,369,420,A
778,260.0,946,180,Burrow 1
779,260.0,294,356,Burrow 2
780,261.0,369,420,A
781,261.0,946,180,Burrow 1
782,261.0,294,356,Burrow 2
783,262.0,369,420,A
784,262.0,946,180,Burrow 1
785,262.0,294,356,Burrow 2
786,263.0,369,420,A
787,263.0,946,180,Burrow 1
788,263.0,294,356,Burrow 2
789,264.0,369,420,A
790,264.0,946,180,Burrow 1
791,264.0,294,356,Burrow 2
792,265.0,369,421,A
793,265.0,946,180,Burrow 1
794,265.0,294,356,Burrow 2
795,266.0,370,421,A
796,266.0,946,180,Burrow 1
797,266.0,294,356,Burrow 2
798,267.0,370,421,A
799,267.0,946,180,Burrow 1
800,267.0,294,356,Burrow 2
801,268.0,370,421,A
802,268.0,946,180,Burrow 1
803,268.0,294,356,Burrow 2
804,269.0,370,421,A
805,269.0,946,180,Burrow 1
806,269.0,294,356,Burrow 2
807,270.0,370,421,A
808,270.0,946,180,Burrow 1
809,270.0,294,356,Burrow 2
810,271.0,370,421,A
811,271.0,946,180,Burrow 1
812,271.0,294,356,Burrow 2
813,272.0,370,421,A
814,272.0,946,180,Burrow 1
815,272.0,294,356,Burrow 2
816,273.0,370,421,A
817,273.0,946,180,Burrow 1
818,273.0,294,356,Burrow 2
819,274.0,370,421,A
820,274.0,946,180,Burrow 1
821,274.0,294,356,Burrow 2
822,275.0,370,421,A
823,275.0,946,180,Burrow 1
824,275.0,294,356,Burrow 2
825,276.0,370,421,A
826,276.0,946,180,Burrow 1
827,276.0,294,356,Burrow 2
828,277.0,370,421,A
